,nb_attack,country
0,137702,united states
1,45635,united arab emirates
2,7740,spain
3,4022,france
4,2866,italy
5,2702,singapore
6,1940,philippines
7,1841,belgium
8,1828,norway
9,1499,saudi arabia
10,1194,russia
11,1143,hong kong
12,963,thailand
13,790,united kingdom
14,725,cyprus
15,658,ireland
16,581,germany
17,487,portugal
18,431,turkey
19,304,australia
20,291,roumania
21,289,canada
22,146,iceland
23,144,poland
24,137,china
25,135,mexico
26,117,austria
